userString,time_difference
2aby9,375.7292069632495
2ux7K,312.50664043285786
BTvTe,301.3968253968254
BkWVk,341.95344229816743
C35YU,381.6858536585366
CFjrD,411.35508550855087
J9XMQ,423.68055555555554
JNGTP,386.77823691460054
TxWoV,324.74265883609183
UGNJN,405.3839957035446
ZB5DG,324.3625421280693
c7fcH,266.51785714285717
dLdbT,271.5153846153846
dxrKQ,346.60164693772515
gSEkT,363.502653159672
jFuj7,358.6069284064665
jUp4k,527.25
ornjb,474.5570054945055
ufgW8,326.7458487084871
wpZ8r,268.1648697214735
wtGa3,384.44860234445446
ywdJG,354.9825610363727
zmzTM,408.8311111111111
